"","vivienda","hogar","tipo_ocupacion","subsidio","lavadora","secadora","nevera","licuadora","plancha","estufa","horno","lava_platos","aspiradora","automovil","motocicleta","servicio_dom"
"3593",8450,1,3,0,1,0,1,1,1,1,0,0,0,0,1,0
"3594",8452,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3595",8454,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0
"3596",8455,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"3597",8456,1,3,0,1,1,1,1,0,1,0,0,0,0,1,0
"3598",8457,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
"3599",8458,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0
"3600",8459,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0
"3601",8461,1,2,0,1,1,1,1,1,1,1,0,0,1,0,0
"3602",8462,1,4,0,0,0,0,1,1,1,0,0,0,0,1,0
"3603",8463,1,3,0,1,0,1,1,1,1,1,0,0,0,0,0
"3604",8464,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3605",8465,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0
"3606",8466,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"3607",8467,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0
"3608",8468,1,3,1,0,0,1,0,0,1,0,0,0,0,1,0
"3609",8470,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
"3610",8471,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0
"3611",8473,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
"3612",8474,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0
"3613",8475,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0
"3614",8476,1,3,0,0,0,1,1,0,1,0,0,0,0,0,0
"3615",8477,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1
"3616",8479,1,4,0,0,0,1,1,1,1,0,0,0,0,1,0
"3617",8480,1,3,0,0,0,1,1,1,1,0,0,0,0,0,0
"3618",8481,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0
"3619",8482,1,3,0,1,0,1,1,1,1,1,0,0,1,0,0
"3620",8484,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
"3621",8485,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0
"3622",8486,1,3,0,1,0,1,1,0,1,0,0,0,0,0,0
"3623",8488,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
"3624",8491,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
"3625",8492,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0
"3626",8496,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0
"3627",8497,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"3628",8498,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0
"3629",8499,1,3,0,1,0,1,1,1,1,0,0,0,0,0,0
"3630",8500,1,3,0,0,0,1,1,1,1,0,0,0,0,0,0
"3631",8502,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1
"3632",8504,1,4,0,1,0,1,0,0,1,0,0,0,0,0,0
"3633",8506,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0
"3634",8507,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0
"3635",8508,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0
"3636",8509,1,3,0,0,0,1,1,0,1,0,0,0,0,1,0
"3637",8510,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3638",8511,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0
"3639",8512,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
"3640",8514,1,4,0,1,0,1,1,0,0,0,0,0,0,1,0
"3641",8515,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
