"","vivienda","hogar","ind","jardin","tiempo_jardin","tiempo_esparcimiento_ninos"
"770",9207,1,3,0,0,0
"771",9210,1,7,1,0,0
"772",9217,1,6,0,0,0
"773",9222,1,3,0,0,0
"774",9240,1,8,1,0,0
"775",9241,1,5,1,0,0
"776",9248,1,5,0,0,0
"777",9254,1,5,0,0,0
"778",9273,1,4,0,0,0
"779",9283,1,4,0,0,0
"780",9287,1,5,0,0,0
"781",9288,1,3,0,0,0
"782",9288,1,4,0,0,0
"783",9295,1,6,0,0,0
"784",9300,1,3,0,0,0
"785",9306,1,5,1,0,0
"786",9316,1,3,1,0,0
"787",9327,1,3,0,0,0
"788",9329,1,4,0,0,0
"789",9338,1,3,0,0,0
"790",9338,1,4,0,0,0
"791",9343,1,7,0,0,0
"792",9349,1,3,0,0,0
"793",9351,1,5,0,0,0
"794",9357,1,4,0,0,0
"795",9358,1,4,1,0,0
"796",9362,1,4,1,3,0
"797",9369,1,3,0,0,0
"798",9373,1,2,1,4,0
"799",9376,1,5,0,0,0
"800",9380,1,6,0,0,0
"801",9380,1,7,0,0,0
"802",9387,2,5,0,0,0
"803",9400,1,4,0,0,0
"804",9413,1,4,0,0,0
"805",9421,1,4,0,0,0
"806",9434,1,5,1,0,0
"807",9436,1,3,1,0,0
"808",9438,1,3,0,0,0
"809",9444,1,5,0,0,0
"810",9460,1,5,0,0,0
"811",9462,1,3,0,0,0
"812",9468,1,4,0,0,0
"813",9492,1,4,0,0,0
"814",9493,1,4,1,0,0
"815",9497,1,4,0,0,0
"816",9499,1,5,0,0,0
"817",9502,1,3,1,0,0
"818",9504,1,4,0,0,0
"819",9520,1,5,0,0,0
"820",9521,1,3,0,0,0
"821",9528,1,2,1,0,0
"822",9540,1,3,0,0,0
"823",9542,1,5,0,0,0
"824",9549,1,5,1,0,0
"825",9554,1,5,0,0,0
"826",9563,1,5,0,0,0
"827",9568,1,3,0,0,0
"828",9571,1,4,0,0,0
"829",9571,1,5,0,0,0
"830",9571,1,6,0,0,0
"831",9572,1,4,1,0,0
"832",9575,1,4,0,0,0
"833",9576,1,3,1,0,0
"834",9576,1,4,0,0,0
"835",9579,1,7,0,0,0
"836",9587,1,3,0,0,0
"837",9589,1,4,0,0,0
"838",9597,1,3,0,0,0
"839",9606,1,3,1,0,0
"840",9606,1,5,1,0,0
"841",9608,1,3,0,0,0
"842",9613,1,2,0,0,0
"843",9616,1,4,1,0,0
"844",9622,1,4,1,4,0
"845",9635,1,3,0,0,0
"846",9643,1,4,0,0,0
"847",9645,1,4,0,0,0
"848",9657,1,3,1,0,0
"849",9658,1,4,0,0,0
"850",9662,1,3,0,0,0
"851",9667,1,3,0,0,0
"852",9681,1,2,0,0,0
"853",9689,1,3,0,0,0
"854",9699,1,3,0,0,0
"855",9711,1,3,0,0,0
"856",9715,1,3,0,0,0
"857",9717,1,3,1,0,0
"858",9717,1,4,0,0,0
"859",9721,1,5,0,0,0
"860",9721,1,6,0,0,0
